bugType,sourceBeforeFix,sourceAfterFix,,
DIFFERENT_METHOD_SAME_ARGS,this.isDefaultAutoCommit(),this.getDefaultReadOnly(),,
CHANGE_IDENTIFIER,this.isDefaultAutoCommit(),this.getDefaultReadOnly(),,
DIFFERENT_METHOD_SAME_ARGS,this.isDefaultAutoCommit(),this.getDefaultReadOnly(),,
CHANGE_IDENTIFIER,this.isDefaultAutoCommit(),this.getDefaultReadOnly(),,
CHANGE_OPERATOR,this.createError == null,this.createError != null,,
CHANGE_MODIFIER,1,33,,
DIFFERENT_METHOD_SAME_ARGS,"Assert.assertTrue(provider.checkValid(""SELECT * FROM T WHERE FID = 40 OR EXTRACTVALUE(4484,CONCAT(0x5c,0x7163646371,(SELECT (CASE WHEN (4484=4484) THEN 1 ELSE 0 END)),0x7165767271))""))","Assert.assertFalse(provider.checkValid(""SELECT * FROM T WHERE FID = 40 OR EXTRACTVALUE(4484,CONCAT(0x5c,0x7163646371,(SELECT (CASE WHEN (4484=4484) THEN 1 ELSE 0 END)),0x7165767271))""))",,
CHANGE_IDENTIFIER,"Assert.assertTrue(provider.checkValid(""SELECT * FROM T WHERE FID = 40 OR EXTRACTVALUE(4484,CONCAT(0x5c,0x7163646371,(SELECT (CASE WHEN (4484=4484) THEN 1 ELSE 0 END)),0x7165767271))""))","Assert.assertFalse(provider.checkValid(""SELECT * FROM T WHERE FID = 40 OR EXTRACTVALUE(4484,CONCAT(0x5c,0x7163646371,(SELECT (CASE WHEN (4484=4484) THEN 1 ELSE 0 END)),0x7165767271))""))",,
DIFFERENT_METHOD_SAME_ARGS,"LOG.warn(""clear parameter error"",ex)","LOG.error(""clear parameter error"",ex)",,
CHANGE_IDENTIFIER,"LOG.warn(""clear parameter error"",ex)","LOG.error(""clear parameter error"",ex)",,
MORE_SPECIFIC_IF,principalCookieName != null,principalCookieName != null && httpRequest.getCookies() != null,,
CHANGE_UNARY_OPERATOR,DruidDataSourceUtils.isRemoveAbandoned(datasource),!DruidDataSourceUtils.isRemoveAbandoned(datasource),,
DELETE_THROWS_EXCEPTION,1,1,,
DELETE_THROWS_EXCEPTION,1,1,,
DELETE_THROWS_EXCEPTION,1,1,,
CHANGE_MODIFIER,17,1,,
CHANGE_MODIFIER,1,17,,
CHANGE_MODIFIER,4,68,,
DIFFERENT_METHOD_SAME_ARGS,raw.getParameters(),raw.getOutParameters(),,
CHANGE_IDENTIFIER,raw.getParameters(),raw.getOutParameters(),,
DIFFERENT_METHOD_SAME_ARGS,raw.getParameters(),raw.getOutParameters(),,
CHANGE_IDENTIFIER,raw.getParameters(),raw.getOutParameters(),,
DIFFERENT_METHOD_SAME_ARGS,raw.getParameters(),raw.getOutParameters(),,
CHANGE_IDENTIFIER,raw.getParameters(),raw.getOutParameters(),,
SWAP_BOOLEAN_LITERAL,this.setAutoCommitOnClose(false),this.setAutoCommitOnClose(true),,
DIFFERENT_METHOD_SAME_ARGS,rsMeta.getColumnName(i + 1),rsMeta.getColumnLabel(i + 1),,
CHANGE_IDENTIFIER,rsMeta.getColumnName(i + 1),rsMeta.getColumnLabel(i + 1),,
SWAP_BOOLEAN_LITERAL,"new LinkedHashMap<String,JdbcSqlStat>(maxSize,0.75f,true)","new LinkedHashMap<String,JdbcSqlStat>(maxSize,0.75f,false)",,
SWAP_BOOLEAN_LITERAL,"new LinkedHashMap<String,Object>(whileListMaxSize,0.75f,true)","new LinkedHashMap<String,Object>(whileListMaxSize,0.75f,false)",,
CHANGE_NUMERAL,"concurrent(driver,dataSource,100)","concurrent(driver,dataSource,30)",,
CHANGE_NUMERAL,i < 10,i < 3,,
CHANGE_NUMERAL,i < 10,i < 3,,
CHANGE_NUMERAL,i < 10,i < 3,,
CHANGE_NUMERAL,i < 10,i < 3,,
CHANGE_NUMERAL,i < 10,i < 3,,
CHANGE_NUMERAL,i < 10,i < 3,,
CHANGE_OPERATOR,activeCount == maxActive,activeCount >= maxActive,,
DIFFERENT_METHOD_SAME_ARGS,url.getServiceInterface(),url.getServiceKey(),,
CHANGE_IDENTIFIER,url.getServiceInterface(),url.getServiceKey(),,
CHANGE_OPERATOR,clazz.getInterfaces().length <= 0,clazz.getInterfaces().length == 0,,
DIFFERENT_METHOD_SAME_ARGS,"getUrl().getMethodParameter(methodName,TIMEOUT_KEY,DEFAULT_TIMEOUT)","getUrl().getMethodPositiveParameter(methodName,TIMEOUT_KEY,DEFAULT_TIMEOUT)",,
CHANGE_IDENTIFIER,"getUrl().getMethodParameter(methodName,TIMEOUT_KEY,DEFAULT_TIMEOUT)","getUrl().getMethodPositiveParameter(methodName,TIMEOUT_KEY,DEFAULT_TIMEOUT)",,
CHANGE_IDENTIFIER,"map.put(USERNAME_KEY,password)","map.put(PASSWORD_KEY,password)",,
DIFFERENT_METHOD_SAME_ARGS,UrlUtils.getIdleTimeout(getUrl()),UrlUtils.getHeartbeat(getUrl()),,
CHANGE_IDENTIFIER,UrlUtils.getIdleTimeout(getUrl()),UrlUtils.getHeartbeat(getUrl()),,
SWAP_BOOLEAN_LITERAL,boolean injvm() default false; ,boolean injvm() default true; ,,
CHANGE_UNARY_OPERATOR,!first,first,,
CHANGE_UNARY_OPERATOR,!first,first,,
CHANGE_IDENTIFIER,StringUtils.isEmpty(parameter),StringUtils.isEmpty(password),,
SWAP_ARGUMENTS,"setBytes(0,data,index,length)","setBytes(index,data,0,length)",,
SWAP_ARGUMENTS,"setBytes(0,data,index,length)","setBytes(index,data,0,length)",,
CHANGE_MODIFIER,10,74,,
CHANGE_MODIFIER,0,64,,
DIFFERENT_METHOD_SAME_ARGS,n.intValue(),n.doubleValue(),,
CHANGE_IDENTIFIER,n.intValue(),n.doubleValue(),,
DIFFERENT_METHOD_SAME_ARGS,n.intValue(),n.floatValue(),,
CHANGE_IDENTIFIER,n.intValue(),n.floatValue(),,
DIFFERENT_METHOD_SAME_ARGS,n.intValue(),n.longValue(),,
CHANGE_IDENTIFIER,n.intValue(),n.longValue(),,
OVERLOAD_METHOD_DELETED_ARGS,dic.buildRouterChain(invokers),dic.buildRouterChain(),,
OVERLOAD_METHOD_DELETED_ARGS,dic.buildRouterChain(invokers),dic.buildRouterChain(),,
OVERLOAD_METHOD_DELETED_ARGS,dic.buildRouterChain(invokers),dic.buildRouterChain(),,
CHANGE_IDENTIFIER,"routerChain.notifyFullInvokers(groupInvokers,getUrl())","routerChain.notifyFullInvokers(invokers,getUrl())",,
DIFFERENT_METHOD_SAME_ARGS,"subProperties.put(subName,value)","subProperties.putIfAbsent(subName,value)",,
CHANGE_IDENTIFIER,"subProperties.put(subName,value)","subProperties.putIfAbsent(subName,value)",,
CHANGE_NUMERAL,Thread.sleep(100),Thread.sleep(300),,
CHANGE_NUMERAL,Thread.sleep(100),Thread.sleep(300),,
DIFFERENT_METHOD_SAME_ARGS,getTimeout(),getConnectTimeout(),,
CHANGE_IDENTIFIER,getTimeout(),getConnectTimeout(),,
DIFFERENT_METHOD_SAME_ARGS,getTimeout(),getConnectTimeout(),,
CHANGE_IDENTIFIER,getTimeout(),getConnectTimeout(),,
DIFFERENT_METHOD_SAME_ARGS,getTimeout(),getConnectTimeout(),,
CHANGE_IDENTIFIER,getTimeout(),getConnectTimeout(),,
DIFFERENT_METHOD_SAME_ARGS,getTimeout(),getConnectTimeout(),,
CHANGE_IDENTIFIER,getTimeout(),getConnectTimeout(),,
DIFFERENT_METHOD_SAME_ARGS,getTimeout(),getConnectTimeout(),,
CHANGE_IDENTIFIER,getTimeout(),getConnectTimeout(),,
DIFFERENT_METHOD_SAME_ARGS,getTimeout(),getConnectTimeout(),,
CHANGE_IDENTIFIER,getTimeout(),getConnectTimeout(),,
DIFFERENT_METHOD_SAME_ARGS,getTimeout(),getConnectTimeout(),,
CHANGE_IDENTIFIER,getTimeout(),getConnectTimeout(),,
DIFFERENT_METHOD_SAME_ARGS,getTimeout(),getConnectTimeout(),,
CHANGE_IDENTIFIER,getTimeout(),getConnectTimeout(),,
DIFFERENT_METHOD_SAME_ARGS,url.toServiceString(),url.toServiceStringWithoutResolving(),,
CHANGE_IDENTIFIER,url.toServiceString(),url.toServiceStringWithoutResolving(),,
LESS_SPECIFIC_IF,"fileName.startsWith(""/"")","fileName.startsWith(""/"") || fileName.matches(""^[A-z]:\\\\\\S+$"")",,
DIFFERENT_METHOD_SAME_ARGS,testConsumerConfig(),testProviderConfig(),,
CHANGE_IDENTIFIER,testConsumerConfig(),testProviderConfig(),,
CHANGE_MODIFIER,0,2,,
CHANGE_NUMERAL,int retries() default 0; ,int retries() default 2; ,,
CHANGE_NUMERAL,/**   * Service invocation retry times  * @see Constants#DEFAULT_RETRIES  */ int retries() default 0; ,/**   * Service invocation retry times  * @see Constants#DEFAULT_RETRIES  */ int retries() default 2; ,,
CHANGE_NUMERAL,Integer.valueOf(2),Integer.valueOf(1),,
CHANGE_NUMERAL,retries=2,retries=1,,
DIFFERENT_METHOD_SAME_ARGS,invocation.addAttachmentsIfAbsent(context),invocation.addAttachments(context),,
CHANGE_IDENTIFIER,invocation.addAttachmentsIfAbsent(context),invocation.addAttachments(context),,
CHANGE_NUMERAL,providerConfig.setTimeout(1000),providerConfig.setTimeout(5000),,
DIFFERENT_METHOD_SAME_ARGS,((ExecutorService)executor).isShutdown(),((ExecutorService)executor).isTerminated(),,
CHANGE_IDENTIFIER,((ExecutorService)executor).isShutdown(),((ExecutorService)executor).isTerminated(),,
DIFFERENT_METHOD_SAME_ARGS,"logger.info(""fail-mock: "" + invocation.getMethodName() + "" fail-mock enabled , url : ""+ directory.getUrl(),e)","logger.warn(""fail-mock: "" + invocation.getMethodName() + "" fail-mock enabled , url : ""+ directory.getUrl(),e)",,
CHANGE_IDENTIFIER,"logger.info(""fail-mock: "" + invocation.getMethodName() + "" fail-mock enabled , url : ""+ directory.getUrl(),e)","logger.warn(""fail-mock: "" + invocation.getMethodName() + "" fail-mock enabled , url : ""+ directory.getUrl(),e)",,
CHANGE_NUMERAL,"assertEquals(12,url.getPort())","assertEquals(0,url.getPort())",,
CHANGE_NUMERAL,"{MAGIC_HIGH,MAGIC_LOW,0x20,20,0,0,0,0,0,0,0,0,0,0,0,0}","{MAGIC_HIGH,MAGIC_LOW,0x02,20,0,0,0,0,0,0,0,0,0,0,0,0}",,
CHANGE_NUMERAL,"{MAGIC_HIGH,MAGIC_LOW,0x20,20,0,0,0,0,0,0,0,0,0,0,0,0}","{MAGIC_HIGH,MAGIC_LOW,0x02,20,0,0,0,0,0,0,0,0,0,0,0,0}",,
CHANGE_NUMERAL,(byte)0xff,(byte)0xe2,,
CHANGE_NUMERAL,(byte)0xff,(byte)0xe2,,
CHANGE_NUMERAL,(byte)0xff,(byte)0xe2,,
CHANGE_NUMERAL,(byte)0xdf,(byte)0xe2,,
CHANGE_NUMERAL,(byte)0xdf,(byte)0xe2,,
CHANGE_NUMERAL,"{MAGIC_HIGH,MAGIC_LOW,0x20,20,0,0,0,0,0,0,0,0,0,0,0,0}","{MAGIC_HIGH,MAGIC_LOW,0x02,20,0,0,0,0,0,0,0,0,0,0,0,0}",,
CHANGE_OPERATOR,providers.size() >= 0,providers.size() > 0,,
OVERLOAD_METHOD_MORE_ARGS,ctClass.toClass(),"ctClass.toClass(clazz.getClassLoader(),null)",,
CHANGE_IDENTIFIER,"oldOverride.removeParameter(""enabled"")","oldOverride.addParameter(""enabled"",""enabled"")",,
OVERLOAD_METHOD_MORE_ARGS,"PojoUtils.realize(list.toArray(),invokeMethod.getParameterTypes())","PojoUtils.realize(list.toArray(),invokeMethod.getParameterTypes(),invokeMethod.getGenericParameterTypes())",,
CHANGE_NUMERAL,MAX_LENGTH=100,MAX_LENGTH=200,,
CHANGE_CALLER_IN_FUNCTION_CALL,c.getDeclaredConstructors(),t.getDeclaredConstructors(),,
CHANGE_IDENTIFIER,c.getDeclaredConstructors(),t.getDeclaredConstructors(),,
OVERLOAD_METHOD_MORE_ARGS,directoryUrl.getParameter(Constants.GROUP_KEY),"directoryUrl.getParameter(Constants.GROUP_KEY,"""")",,
CHANGE_UNARY_OPERATOR,exported,!exported,,
LESS_SPECIFIC_IF,millis % offset == 0,offset == 0 || millis % offset == 0,,
LESS_SPECIFIC_IF,millis % offset == 0,offset == 0 || millis % offset == 0,,
OVERLOAD_METHOD_MORE_ARGS,new String(bytes2),"new String(bytes2,""UTF8"")",,
OVERLOAD_METHOD_MORE_ARGS,new String(bytes2),"new String(bytes2,""UTF8"")",,
OVERLOAD_METHOD_MORE_ARGS,new String(bytes2),"new String(bytes2,""UTF8"")",,
OVERLOAD_METHOD_MORE_ARGS,new String(bytes2),"new String(bytes2,""UTF8"")",,
OVERLOAD_METHOD_MORE_ARGS,new String(bytes2),"new String(bytes2,""UTF8"")",,
OVERLOAD_METHOD_MORE_ARGS,new String(bytes2),"new String(bytes2,""UTF8"")",,
OVERLOAD_METHOD_MORE_ARGS,toJSON(entry.getValue()),"toJSON(entry.getValue(),config)",,
OVERLOAD_METHOD_MORE_ARGS,toJSON(item),"toJSON(item,config)",,
CHANGE_NUMERAL,count < 12,count < 17,,
CHANGE_NUMERAL,1000 * 1000 * 10,1000 * 1000 * 1,,
CHANGE_IDENTIFIER,DateTimeZone.getDefault(),"DateTimeZone.forID(""Asia/Shanghai"")",,
CHANGE_UNARY_OPERATOR,100,-100,,
CHANGE_UNARY_OPERATOR,100,-100,,
OVERLOAD_METHOD_MORE_ARGS,TypeUtils.getKoltinConstructor(constructors),"TypeUtils.getKoltinConstructor(constructors,paramNames)",,
LESS_SPECIFIC_IF,arguments == null,arguments == null || class_gd == null,,
LESS_SPECIFIC_IF,arguments == null,arguments == null || class_gd == null,,
CHANGE_NUMERAL,1024 * 64,1024 * 128,,
OVERLOAD_METHOD_DELETED_ARGS,"deserialze(parser,type,fieldName,null,0,null)","deserialze(parser,type,fieldName,0)",,
OVERLOAD_METHOD_MORE_ARGS,new SimpleDateFormat(format),"new SimpleDateFormat(format,JSON.defaultLocale)",,
DIFFERENT_METHOD_SAME_ARGS,fieldDeser.getPropertyValue(currentObject),fieldDeser.getPropertyValueDirect(currentObject),,
CHANGE_IDENTIFIER,fieldDeser.getPropertyValue(currentObject),fieldDeser.getPropertyValueDirect(currentObject),,
CHANGE_IDENTIFIER,(ObjectDeserializer)value,(ObjectSerializer)value,,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,Calendar.getInstance(JSON.defaultLocale),"Calendar.getInstance(JSON.defaultTimeZone,JSON.defaultLocale)",,
OVERLOAD_METHOD_MORE_ARGS,new ASMClassLoader(),new ASMClassLoader(ASMSerializerFactory.class.getClassLoader()),,
MORE_SPECIFIC_IF,elementClass != null,elementClass != null && Modifier.isPublic(elementClass.getModifiers()),,
MORE_SPECIFIC_IF,elementClass != null,elementClass != null && Modifier.isPublic(elementClass.getModifiers()),,
CHANGE_NUMERAL,"Assert.assertEquals(1,fastJsonConfig.getFeatures().length)","Assert.assertEquals(0,fastJsonConfig.getFeatures().length)",,
OVERLOAD_METHOD_MORE_ARGS,javaBeanSerializer.getFieldValues(json),"javaBeanSerializer.getFieldValues(javaObject,json)",,
CHANGE_IDENTIFIER,javaBeanSerializer.getFieldValues(json),"javaBeanSerializer.getFieldValues(javaObject,json)",,
CHANGE_OPERAND,isDoubleA && isIntA,isDoubleA && isIntB,,
CHANGE_IDENTIFIER,isDoubleA && isIntA,isDoubleA && isIntB,,
CHANGE_NUMERAL,"Assert.assertEquals(2,json.size())","Assert.assertEquals(3,json.size())",,
LESS_SPECIFIC_IF,superClass == Object.class,superClass == Object.class || superClass == null,,
LESS_SPECIFIC_IF,superClass == Object.class,superClass == Object.class || superClass == null,,
LESS_SPECIFIC_IF,superClass == Object.class,superClass == Object.class || superClass == null,,
LESS_SPECIFIC_IF,superClass == Object.class,superClass == Object.class || superClass == null,,
LESS_SPECIFIC_IF,type instanceof WildcardType || type instanceof TypeVariable,type instanceof WildcardType || type instanceof TypeVariable || type instanceof ParameterizedType,,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""long"")","context.var(""long"",2)",,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""double"")","context.var(""double"",2)",,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""double"")","context.var(""double"",2)",,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""long"")","context.var(""long"",2)",,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""double"")","context.var(""double"",2)",,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""long"")","context.var(""long"",2)",,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""double"")","context.var(""double"",2)",,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""long"")","context.var(""long"",2)",,
OVERLOAD_METHOD_MORE_ARGS,"context.var(""double"")","context.var(""double"",2)",,
DIFFERENT_METHOD_SAME_ARGS,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
CHANGE_IDENTIFIER,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
DIFFERENT_METHOD_SAME_ARGS,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
CHANGE_IDENTIFIER,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
DIFFERENT_METHOD_SAME_ARGS,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
CHANGE_IDENTIFIER,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
DIFFERENT_METHOD_SAME_ARGS,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
CHANGE_IDENTIFIER,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
DIFFERENT_METHOD_SAME_ARGS,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
CHANGE_IDENTIFIER,StatBuckets.prettyUptime(secs),StatBuckets.prettyUptimeStr(secs),,
CHANGE_IDENTIFIER,"libDirectory="".""","outputDirectory="".""",,
CHANGE_IDENTIFIER,"libDirectory="".""","outputDirectory="".""",,
CHANGE_OPERATOR,outputFile.lastModified() < grammarFile.lastModified(),outputFile.lastModified() <= grammarFile.lastModified(),,
OVERLOAD_METHOD_MORE_ARGS,"Arrays.asList(""Java"",""CSharp"",""Python2"",""Python3"",""Node"")","Arrays.asList(""Java"",""CSharp"",""Python2"",""Python3"",""Node"",""Cpp"")",,
OVERLOAD_METHOD_MORE_ARGS,"Arrays.asList(""Java"",""CSharp"")","Arrays.asList(""Java"",""CSharp"",""Cpp"")",,
OVERLOAD_METHOD_MORE_ARGS,"g.tool.errMgr.grammarError(ErrorType.EMPTY_STRINGS_AND_SETS_NOT_ALLOWED,g.fileName,tree.token)","g.tool.errMgr.grammarError(ErrorType.EMPTY_STRINGS_AND_SETS_NOT_ALLOWED,g.fileName,tree.token,""''"")",,
CHANGE_OPERATOR,i < getATN().maxTokenType,i <= getATN().maxTokenType,,
CHANGE_OPERATOR,i < getATN().maxTokenType,i <= getATN().maxTokenType,,
MORE_SPECIFIC_IF,n <= k,n <= k && i > 0,,
CHANGE_NUMERAL,new StringBuilder(674),new StringBuilder(734),,
CHANGE_NUMERAL,new StringBuilder(674),new StringBuilder(734),,
CHANGE_NUMERAL,new StringBuilder(167),new StringBuilder(194),,
CHANGE_NUMERAL,new StringBuilder(709),new StringBuilder(726),,
CHANGE_NUMERAL,new StringBuilder(709),new StringBuilder(726),,
CHANGE_NUMERAL,new StringBuilder(254),new StringBuilder(253),,
CHANGE_NUMERAL,new StringBuilder(254),new StringBuilder(253),,
CHANGE_NUMERAL,new StringBuilder(254),new StringBuilder(253),,
CHANGE_NUMERAL,new StringBuilder(246),new StringBuilder(245),,
CHANGE_NUMERAL,new StringBuilder(246),new StringBuilder(245),,
CHANGE_NUMERAL,new StringBuilder(246),new StringBuilder(245),,
CHANGE_NUMERAL,new StringBuilder(741),new StringBuilder(740),,
CHANGE_NUMERAL,new StringBuilder(741),new StringBuilder(740),,
CHANGE_NUMERAL,new StringBuilder(741),new StringBuilder(740),,
CHANGE_NUMERAL,new StringBuilder(741),new StringBuilder(740),,
CHANGE_NUMERAL,new StringBuilder(247),new StringBuilder(246),,
CHANGE_NUMERAL,new StringBuilder(247),new StringBuilder(246),,
CHANGE_NUMERAL,new StringBuilder(247),new StringBuilder(246),,
CHANGE_NUMERAL,new StringBuilder(730),new StringBuilder(729),,
CHANGE_NUMERAL,new StringBuilder(730),new StringBuilder(729),,
CHANGE_NUMERAL,new StringBuilder(730),new StringBuilder(729),,
CHANGE_NUMERAL,new StringBuilder(730),new StringBuilder(729),,
CHANGE_NUMERAL,new StringBuilder(246),new StringBuilder(245),,
CHANGE_NUMERAL,new StringBuilder(246),new StringBuilder(245),,
CHANGE_NUMERAL,new StringBuilder(246),new StringBuilder(245),,
CHANGE_NUMERAL,new StringBuilder(639),new StringBuilder(638),,
CHANGE_NUMERAL,new StringBuilder(639),new StringBuilder(638),,
CHANGE_NUMERAL,new StringBuilder(639),new StringBuilder(638),,
CHANGE_NUMERAL,new StringBuilder(639),new StringBuilder(638),,
CHANGE_NUMERAL,new StringBuilder(239),new StringBuilder(238),,
CHANGE_NUMERAL,new StringBuilder(239),new StringBuilder(238),,
CHANGE_NUMERAL,new StringBuilder(239),new StringBuilder(238),,
CHANGE_NUMERAL,new StringBuilder(561),new StringBuilder(560),,
CHANGE_NUMERAL,new StringBuilder(561),new StringBuilder(560),,
CHANGE_NUMERAL,new StringBuilder(561),new StringBuilder(560),,
CHANGE_NUMERAL,new StringBuilder(561),new StringBuilder(560),,
CHANGE_NUMERAL,new StringBuilder(239),new StringBuilder(238),,
CHANGE_NUMERAL,new StringBuilder(239),new StringBuilder(238),,
CHANGE_NUMERAL,new StringBuilder(239),new StringBuilder(238),,
CHANGE_NUMERAL,new StringBuilder(561),new StringBuilder(560),,
CHANGE_NUMERAL,new StringBuilder(561),new StringBuilder(560),,
CHANGE_NUMERAL,new StringBuilder(561),new StringBuilder(560),,
CHANGE_NUMERAL,new StringBuilder(561),new StringBuilder(560),,
OVERLOAD_METHOD_MORE_ARGS,gen.generateParser(),gen.generateParser(false),,
CHANGE_NUMERAL,new StringBuilder(247),new StringBuilder(259),,
SWAP_BOOLEAN_LITERAL,return false; ,return true; ,,
SWAP_BOOLEAN_LITERAL,return false; ,return true; ,,
CHANGE_NUMERAL,"NONCONFORMING_LR_RULE(165,""rule <arg> is left recursive but doesn't conform to a pattern ANTLR can handle"",ErrorSeverity.ERROR)","NONCONFORMING_LR_RULE(169,""rule <arg> is left recursive but doesn't conform to a pattern ANTLR can handle"",ErrorSeverity.ERROR)",,
CHANGE_IDENTIFIER,"/**   * @author Eric Vergnaud  */ public class Python2Target extends AbstractPython3Target {   protected static final String[] python2Keywords={""abs"",""all"",""any"",""apply"",""as"",""bin"",""bool"",""buffer"",""bytearray"",""callable"",""chr"",""classmethod"",""coerce"",""compile"",""complex"",""delattr"",""dict"",""dir"",""divmod"",""enumerate"",""eval"",""execfile"",""file"",""filter"",""float"",""format"",""frozenset"",""getattr"",""globals"",""hasattr"",""hash"",""help"",""hex"",""id"",""input"",""int"",""intern"",""isinstance"",""issubclass"",""iter"",""len"",""list"",""locals"",""map"",""max"",""min"",""next"",""memoryview"",""object"",""oct"",""open"",""ord"",""pow"",""print"",""property"",""range"",""raw_input"",""reduce"",""reload"",""repr"",""reversed"",""round"",""set"",""setattr"",""slice"",""sorted"",""staticmethod"",""str"",""sum"",""super"",""tuple"",""type"",""unichr"",""unicode"",""vars"",""with"",""xrange"",""zip"",""__import__"",""True"",""False"",""None""};   /**   * Avoid grammar symbols in this set to prevent conflicts in gen'd code.   */   protected final Set<String> badWords=new HashSet<String>();   public Python2Target(  CodeGenerator gen){     super(gen,""Python2"");   }   @Override public String getVersion(){     return ""4.4.0"";   }   public Set<String> getBadWords(){     if (badWords.isEmpty()) {       addBadWords();     }     return badWords;   }   protected void addBadWords(){     badWords.addAll(Arrays.asList(python2Keywords));     badWords.add(""rule"");     badWords.add(""parserRule"");   } } ","/**   * @author Eric Vergnaud  */ public class Python2Target extends AbstractPythonTarget {   protected static final String[] python2Keywords={""abs"",""all"",""any"",""apply"",""as"",""bin"",""bool"",""buffer"",""bytearray"",""callable"",""chr"",""classmethod"",""coerce"",""compile"",""complex"",""delattr"",""dict"",""dir"",""divmod"",""enumerate"",""eval"",""execfile"",""file"",""filter"",""float"",""format"",""frozenset"",""getattr"",""globals"",""hasattr"",""hash"",""help"",""hex"",""id"",""input"",""int"",""intern"",""isinstance"",""issubclass"",""iter"",""len"",""list"",""locals"",""map"",""max"",""min"",""next"",""memoryview"",""object"",""oct"",""open"",""ord"",""pow"",""print"",""property"",""range"",""raw_input"",""reduce"",""reload"",""repr"",""reversed"",""round"",""set"",""setattr"",""slice"",""sorted"",""staticmethod"",""str"",""sum"",""super"",""tuple"",""type"",""unichr"",""unicode"",""vars"",""with"",""xrange"",""zip"",""__import__"",""True"",""False"",""None""};   /**   * Avoid grammar symbols in this set to prevent conflicts in gen'd code.   */   protected final Set<String> badWords=new HashSet<String>();   public Python2Target(  CodeGenerator gen){     super(gen,""Python2"");   }   @Override public String getVersion(){     return ""4.4.0"";   }   public Set<String> getBadWords(){     if (badWords.isEmpty()) {       addBadWords();     }     return badWords;   }   protected void addBadWords(){     badWords.addAll(Arrays.asList(python2Keywords));     badWords.add(""rule"");     badWords.add(""parserRule"");   } } ",,
DIFFERENT_METHOD_SAME_ARGS,grammar.getTokenNames(),grammar.getTokenDisplayNames(),,
CHANGE_IDENTIFIER,grammar.getTokenNames(),grammar.getTokenDisplayNames(),,
DIFFERENT_METHOD_SAME_ARGS,grammar.getTokenNames(),grammar.getTokenDisplayNames(),,
CHANGE_IDENTIFIER,grammar.getTokenNames(),grammar.getTokenDisplayNames(),,
DIFFERENT_METHOD_SAME_ARGS,getTokenNames(),getTokenDisplayNames(),,
CHANGE_IDENTIFIER,getTokenNames(),getTokenDisplayNames(),,
